PS C:\iverilog\bin> .\vvp.exe .\elevator_sim
VCD info: dumpfile elevator_wave.vcd opened for output.
---------------------------------------------------------------------------------------------------------------------------
Time(s)| CLK | SW_Fl | Opn | Cls | Floor | Door_Q (1=Opn) | Count | Door_LED (0=ON)
  83   |  1  |  11   |  0  |  0  |   3   |       0        |   0   |    0
  84   |  0  |  11   |  0  |  0  |   3   |       0        |   0   |    0
  85   |  1  |  11   |  0  |  0  |   3   |       0        |   0   |    0
  86   |  0  |  11   |  0  |  0  |   3   |       0        |   0   |    0
  87   |  1  |  11   |  0  |  0  |   3   |       0        |   0   |    0
  88   |  0  |  11   |  0  |  0  |   3   |       0        |   0   |    0
  89   |  1  |  11   |  0  |  0  |   3   |       0        |   0   |    0
  90   |  0  |  11   |  0  |  0  |   3   |       0        |   0   |    0
  91   |  1  |  11   |  0  |  0  |   3   |       0        |   0   |    0
  92   |  0  |  11   |  0  |  0  |   3   |       0        |   0   |    0
  93   |  1  |  11   |  0  |  0  |   3   |       0        |   0   |    0
  94   |  0  |  11   |  0  |  0  |   3   |       0        |   0   |    0
  95   |  1  |  11   |  0  |  0  |   3   |       0        |   0   |    0
  96   |  0  |  11   |  0  |  0  |   3   |       0        |   0   |    0
  97   |  1  |  11   |  0  |  0  |   3   |       0        |   0   |    0
  98   |  0  |  11   |  0  |  0  |   3   |       0        |   0   |    0
  99   |  1  |  11   |  0  |  0  |   3   |       0        |   0   |    0
 100   |  0  |  11   |  0  |  0  |   3   |       0        |   0   |    0
 101   |  1  |  11   |  0  |  0  |   3   |       0        |   0   |    0
 102   |  1  |  00   |  0  |  0  |   3   |       0        |   0   |    0
 102   |  0  |  00   |  0  |  0  |   3   |       0        |   0   |    0
 103   |  1  |  00   |  0  |  0  |   2   |       0        |   0   |    0
 104   |  0  |  00   |  0  |  0  |   2   |       0        |   0   |    0
 105   |  1  |  00   |  0  |  0  |   1   |       0        |   0   |    0
 106   |  0  |  00   |  0  |  0  |   1   |       0        |   0   |    0
 107   |  1  |  00   |  0  |  0  |   0   |       1        |   0   |    1
 108   |  0  |  00   |  0  |  0  |   0   |       1        |   0   |    1
 109   |  1  |  00   |  0  |  0  |   0   |       1        |   1   |    1
 110   |  0  |  00   |  0  |  0  |   0   |       1        |   1   |    1
 111   |  1  |  00   |  0  |  0  |   0   |       1        |   2   |    1
 112   |  0  |  00   |  0  |  0  |   0   |       1        |   2   |    1
